,id,value_id,value_name,attribute_group_id,source,name,value_struct,values,attribute_group_name,value_struct.number,value_struct.unit
178,HAS_AIR_CONDITIONING,242085,Sí,COMOYAMEN,4709975701260268,Aire acondicionado,,"[{'source': 4709975701260268, 'id': '242085', 'name': 'Sí', 'struct': None}]",Comodidades y amenities,,
179,BEDROOMS,,0,FIND,4709975701260268,Dormitorios,,"[{'id': None, 'name': '0', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
180,COVERED_AREA,,44 m²,FIND,4709975701260268,Superficie cubierta,,"[{'id': None, 'name': '44 m²', 'struct': {'number': 44, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,44.0,m²
181,FULL_BATHROOMS,,1,FIND,4709975701260268,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
182,ROOMS,,1,FIND,4709975701260268,Ambientes,,"[{'id': None, 'name': '1', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
183,TOTAL_AREA,,49 m²,FIND,4709975701260268,Superficie total,,"[{'id': None, 'name': '49 m²', 'struct': {'number': 49, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,49.0,m²
184,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
185,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'name': 'Departamento', 'struct': None, 'source': 1, 'id': '242062'}]",Principales,,
186,ITEM_CONDITION,2230581,Usado,OTHERS,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",Otros,,
187,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",,,
188,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,5268846267775305,Aire acondicionado,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 5268846267775305}]",Comodidades y amenities,,
189,BEDROOMS,,2,FIND,5268846267775305,Dormitorios,,"[{'id': None, 'name': '2', 'struct': None, 'source': 5268846267775305}]",Ficha técnica,,
190,COVERED_AREA,,70 m²,FIND,5268846267775305,Superficie cubierta,,"[{'id': None, 'name': '70 m²', 'struct': {'number': 70, 'unit': 'm²'}, 'source': 5268846267775305}]",Ficha técnica,70.0,m²
191,FULL_BATHROOMS,,1,FIND,5268846267775305,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 5268846267775305}]",Ficha técnica,,
192,ROOMS,,3,FIND,5268846267775305,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 5268846267775305}]",Ficha técnica,,
193,TOTAL_AREA,,0 m²,FIND,5268846267775305,Superficie total,,"[{'id': None, 'name': '0 m²', 'struct': {'number': 0, 'unit': 'm²'}, 'source': 5268846267775305}]",Ficha técnica,0.0,m²
194,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
195,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'id': '242062', 'name': 'Departamento', 'struct': None, 'source': 1}]",Principales,,
196,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,4709975701260268,Línea telefónica,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 4709975701260268}]",Características adicionales,,
197,HAS_AIR_CONDITIONING,242085,Sí,COMOYAMEN,4709975701260268,Aire acondicionado,,"[{'id': '242085', 'name': 'Sí', 'struct': None, 'source': 4709975701260268}]",Comodidades y amenities,,
198,BEDROOMS,,2,FIND,4709975701260268,Dormitorios,,"[{'id': None, 'name': '2', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
199,COVERED_AREA,,168 m²,FIND,4709975701260268,Superficie cubierta,,"[{'source': 4709975701260268, 'id': None, 'name': '168 m²', 'struct': {'unit': 'm²', 'number': 168}}]",Ficha técnica,168.0,m²
200,FULL_BATHROOMS,,3,FIND,4709975701260268,Baños,,"[{'id': None, 'name': '3', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
201,ROOMS,,3,FIND,4709975701260268,Ambientes,,"[{'id': None, 'name': '3', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
202,TOTAL_AREA,,168 m²,FIND,4709975701260268,Superficie total,,"[{'id': None, 'name': '168 m²', 'struct': {'number': 168, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,168.0,m²
203,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'id': '242073', 'name': 'Alquiler', 'struct': None, 'source': 1}]",Principales,,
204,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'source': 1, 'id': '242062', 'name': 'Departamento', 'struct': None}]",Principales,,
205,ITEM_CONDITION,2230581,Usado,OTHERS,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",Otros,,
206,BEDROOMS,,1,FIND,7398128016960827,Dormitorios,,"[{'name': '1', 'struct': None, 'source': 7398128016960827, 'id': None}]",Ficha técnica,,
